dataset,model_id,sigma_bin,metric_name,scale_delta,cycle_len,value_mean,value_std,num_points
toy,M2,2,r_cycle,,5,7.070146921250853e-07,0.0,1
toy,M2,2,r_cycle_total,,,4.5590203967549314e-07,0.0,1
toy,M2,2,r_loop_multi,0.02,,7.255118757758777e-21,0.0,1
toy,M2,2,r_loop_multi,0.05,,9.52056037124672e-19,0.0,1
toy,M2,2,r_loop_multi,0.1,,5.739069748888042e-17,0.0,1
toy,M2,2,r_loop_multi_total,,,1.9450002323132997e-17,0.0,1
toy,M2,2,r_sym,,,6.44671338881353e-12,0.0,1
toy,M2,3,r_cycle,,3,1.5210679293886642e-07,0.0,1
toy,M2,3,r_cycle,,4,3.0388753202714724e-07,0.0,1
toy,M2,3,r_cycle,,5,3.8976429550530156e-07,0.0,1
toy,M2,3,r_cycle_total,,,2.819195401571051e-07,0.0,1
toy,M2,3,r_loop_multi,0.02,,6.430162000895553e-21,0.0,1
toy,M2,3,r_loop_multi,0.05,,1.0890031287607622e-18,0.0,1
toy,M2,3,r_loop_multi,0.1,,6.725511746115089e-17,0.0,1
toy,M2,3,r_loop_multi_total,,,2.2783517030664547e-17,0.0,1
toy,M2,3,r_sym,,,5.223618412819597e-12,0.0,1
toy,M2,4,r_cycle,,3,1.9106180104699888e-07,0.0,1
toy,M2,4,r_cycle,,4,3.250677593769069e-07,0.0,1
toy,M2,4,r_cycle,,5,5.621038212666463e-07,0.0,1
toy,M2,4,r_cycle_total,,,3.594111319671356e-07,0.0,1
toy,M2,4,r_loop_multi,0.02,,6.359223589330245e-21,0.0,1
toy,M2,4,r_loop_multi,0.05,,7.525068827548031e-19,0.0,1
toy,M2,4,r_loop_multi,0.1,,7.427827790842012e-17,0.0,1
toy,M2,4,r_loop_multi_total,,,2.5012381660968282e-17,0.0,1
toy,M2,4,r_sym,,,5.565321207351426e-12,0.0,1
toy,M2,5,r_cycle,,3,5.465144568006508e-07,0.0,1
toy,M2,5,r_cycle,,4,1.0211766721113236e-06,0.0,1
toy,M2,5,r_cycle,,5,1.4070418501432869e-06,0.0,1
toy,M2,5,r_cycle_total,,,9.915776217894745e-07,0.0,1
toy,M2,5,r_loop_multi,0.02,,9.00708971852679e-21,0.0,1
toy,M2,5,r_loop_multi,0.05,,1.1160436629851207e-18,0.0,1
toy,M2,5,r_loop_multi,0.1,,7.925683978736038e-17,0.0,1
toy,M2,5,r_loop_multi_total,,,2.6793963264284993e-17,0.0,1
toy,M2,5,r_sym,,,5.645555637562305e-12,0.0,1
toy,M2,6,r_cycle,,3,3.023879742158897e-07,0.0,1
toy,M2,6,r_cycle,,4,4.0887618979468243e-07,0.0,1
toy,M2,6,r_cycle,,5,6.433934345295711e-07,0.0,1
toy,M2,6,r_cycle_total,,,4.5155252337281127e-07,0.0,1
toy,M2,6,r_loop_multi,0.02,,6.03599589872983e-21,0.0,1
toy,M2,6,r_loop_multi,0.05,,9.042825310394017e-19,0.0,1
toy,M2,6,r_loop_multi,0.1,,5.145935589317708e-17,0.0,1
toy,M2,6,r_loop_multi_total,,,1.745655825824553e-17,0.0,1
toy,M2,6,r_sym,,,5.266358963501583e-12,0.0,1
toy,M2,7,r_cycle,,3,1.3967226664135524e-07,0.0,1
toy,M2,7,r_cycle,,4,2.8365423077048035e-07,0.0,1
toy,M2,7,r_cycle,,5,4.6089968464002595e-07,0.0,1
toy,M2,7,r_cycle_total,,,2.9474207963176013e-07,0.0,1
toy,M2,7,r_loop_multi,0.02,,7.373557450544446e-21,0.0,1
toy,M2,7,r_loop_multi,0.05,,1.1194144239812743e-18,0.0,1
toy,M2,7,r_loop_multi,0.1,,6.599160238419859e-17,0.0,1
toy,M2,7,r_loop_multi_total,,,2.2372795386752367e-17,0.0,1
toy,M2,7,r_sym,,,6.0370723177494146e-12,0.0,1
