dataset,model_id,sigma_bin,metric_name,scale_delta,cycle_len,value_mean,value_std,num_points
toy,M2,2,r_cycle,,4,4.911335054202937e-07,0.0,1
toy,M2,2,r_cycle,,5,8.547899597033393e-07,0.0,1
toy,M2,2,r_cycle_total,,,5.292017704050522e-07,0.0,1
toy,M2,2,r_loop_multi,0.02,,5.832524816119557e-21,0.0,1
toy,M2,2,r_loop_multi,0.05,,5.975189819589314e-19,0.0,1
toy,M2,2,r_loop_multi,0.1,,3.0920616793440563e-17,0.0,1
toy,M2,2,r_loop_multi_total,,,1.050798964989388e-17,0.0,1
toy,M2,2,r_sym,,,9.599778437452411e-12,0.0,1
toy,M2,3,r_cycle,,3,2.508862166905601e-07,0.0,1
toy,M2,3,r_cycle,,4,5.674458520843473e-07,0.0,1
toy,M2,3,r_cycle,,5,9.020249649438483e-07,0.0,1
toy,M2,3,r_cycle_total,,,5.734523256251123e-07,0.0,1
toy,M2,3,r_loop_multi,0.02,,6.543986576826824e-21,0.0,1
toy,M2,3,r_loop_multi,0.05,,6.830843022802183e-19,0.0,1
toy,M2,3,r_loop_multi,0.1,,3.0681217489277916e-17,0.0,1
toy,M2,3,r_loop_multi_total,,,1.0456948470196296e-17,0.0,1
toy,M2,3,r_sym,,,1.0155187454841119e-11,0.0,1
toy,M2,4,r_cycle,,3,2.3429589646184468e-07,0.0,1
toy,M2,4,r_cycle,,4,5.1061886097159e-07,0.0,1
toy,M2,4,r_cycle,,5,6.450833893723029e-07,0.0,1
toy,M2,4,r_cycle_total,,,4.633327250758157e-07,0.0,1
toy,M2,4,r_loop_multi,0.02,,6.888109867520223e-21,0.0,1
toy,M2,4,r_loop_multi,0.05,,9.52987132301677e-19,0.0,1
toy,M2,4,r_loop_multi,0.1,,4.104482441761189e-17,0.0,1
toy,M2,4,r_loop_multi_total,,,1.4001567114676892e-17,0.0,1
toy,M2,4,r_sym,,,9.260397136612308e-12,0.0,1
toy,M2,5,r_cycle,,3,1.3486787509009446e-07,0.0,1
toy,M2,5,r_cycle,,4,2.774068263988738e-07,0.0,1
toy,M2,5,r_cycle,,5,3.9890619518700987e-07,0.0,1
toy,M2,5,r_cycle_total,,,2.703936274883745e-07,0.0,1
toy,M2,5,r_loop_multi,0.02,,6.1653709047216016e-21,0.0,1
toy,M2,5,r_loop_multi,0.05,,5.472264524144956e-19,0.0,1
toy,M2,5,r_loop_multi,0.1,,2.888094491283996e-17,0.0,1
