dataset,model_id,sigma_bin,metric_name,scale_delta,cycle_len,value_mean,value_std,num_points
toy,M1,3,r_cycle,,4,1.1720807552337646,0.0,1
toy,M1,3,r_cycle,,5,1.5159893035888672,0.0,1
toy,M1,3,r_cycle_total,,,1.0764164924621582,0.0,1
toy,M1,3,r_loop_multi,0.02,,2.2381013708994146e-11,0.0,1
toy,M1,3,r_loop_multi,0.05,,9.389609090248996e-10,0.0,1
toy,M1,3,r_loop_multi,0.1,,1.502705693212647e-08,0.0,1
toy,M1,3,r_loop_multi_total,,,5.329466201686728e-09,0.0,1
toy,M1,3,r_sym,,,0.00028400556766428053,0.0,1
toy,M1,4,r_cycle,,3,1.1734062433242798,0.0,1
toy,M1,4,r_cycle,,4,1.6225173473358154,0.0,1
toy,M1,4,r_cycle,,5,3.483797073364258,0.0,1
toy,M1,4,r_cycle_total,,,2.093240261077881,0.0,1
toy,M1,4,r_loop_multi,0.02,,4.7534359261247605e-12,0.0,1
toy,M1,4,r_loop_multi,0.05,,1.9365614667421482e-10,0.0,1
toy,M1,4,r_loop_multi,0.1,,2.808799193232403e-09,0.0,1
toy,M1,4,r_loop_multi_total,,,1.0024029384325672e-09,0.0,1
toy,M1,4,r_sym,,,5.622026219498366e-05,0.0,1
toy,M1,5,r_cycle,,3,1.523478627204895,0.0,1
toy,M1,5,r_cycle,,4,1.889641284942627,0.0,1
toy,M1,5,r_cycle,,5,4.9077582359313965,0.0,1
toy,M1,5,r_cycle_total,,,2.7736260890960693,0.0,1
toy,M1,5,r_loop_multi,0.02,,6.90539585148503e-13,0.0,1
toy,M1,5,r_loop_multi,0.05,,2.8868671342330288e-11,0.0,1
toy,M1,5,r_loop_multi,0.1,,3.6106040379735305e-10,0.0,1
toy,M1,5,r_loop_multi_total,,,1.3020653999440412e-10,0.0,1
toy,M1,5,r_sym,,,9.302169928560033e-06,0.0,1
toy,M1,6,r_cycle,,3,0.49783116579055786,0.0,1
toy,M1,6,r_cycle,,4,0.8318064212799072,0.0,1
toy,M1,6,r_cycle,,5,0.9481509923934937,0.0,1
toy,M1,6,r_cycle_total,,,0.7592628598213196,0.0,1
toy,M1,6,r_loop_multi,0.02,,3.523713981191945e-14,0.0,1
toy,M1,6,r_loop_multi,0.05,,1.0720429535412968e-12,0.0,1
toy,M1,6,r_loop_multi,0.1,,1.727434861820143e-11,0.0,1
toy,M1,6,r_loop_multi_total,,,6.1272098506037764e-12,0.0,1
toy,M1,6,r_sym,,,3.566426585166482e-07,0.0,1
toy,M1,7,r_cycle,,3,0.07608994096517563,0.0,1
toy,M1,7,r_cycle,,4,0.19600200653076172,0.0,1
toy,M1,7,r_cycle,,5,0.2993772029876709,0.0,1
toy,M1,7,r_cycle_total,,,0.19048972427845,0.0,1
